"The requested qty exceeds the maximum %1 qty allowed in shopping cart","この商品を一度に購入できるのは%1個までです"
"Tax Class ","消費税率"
"The date entered is incorrect.","入力された日付が正しくありません"
"Enter special price start date.","特別価格の開始日を入力して下さい"
"Enter special price end date.","特別価格の終了日を入力して下さい"
"Please enter a special price.","特別価格を入力して下さい"
"Please enter the special price as a numerical value.","特別価格は数値で入力して下さい"
"Qty Sold","販売数量"
"Qty Confirmed","保留中"
"Qty Pending","確認済み数量"
" Are you sure you want to edit this product ? ","この商品を編集してもよろしいですか？"
"Enter Meta Keywords Comma(',') Separated..","カンマ区切りでメタキーワードを入力してください"
"Save Profile","保存する"

"Market Place","マーケットプレイス"
"Setting 403 page","403ページ設定"
"403 CMS Page","403CMSページ"
